"SYMBOL"	"energy"	"Nsites"
"SLC27A1"	-15.8	1
"COLGALT1"	-18.9	1
"PGLS"	-19.3	1
"MLLT1"	-18.8	1
"NDUFA10"	-19.3	1
"TAF4"	-16.6	1
"RBBP8NL"	-18	1
"FIBCD1"	-16.3	1
"ZC3H4"	-17.3	1
"MAP3K10"	-15.7	1
"SESN2"	-16.9	1
"ZNF426"	-19.5	1
"LRP3"	-19.3	1
"PPIL4"	-21.7	2
"ABCB7"	-17.8	1
"MRPS25"	-21.6	1
"TBC1D5"	-17	1
"ZFYVE20"	-18.4	1
"EXOC4"	-16.5	1
"FLYWCH1"	-16	1
"CHSY1"	-18.3	2
"LIN28A"	-25.4	1
"OC90"	-17.9	1
"PTCD3"	-21.4	1
"TMEM128"	-17	1
"KDM6B"	-15.9	1
"TERF2"	-20.2	1
"VPS4A"	-15.8	1
"BTBD3"	-16.9	1
"DPH2"	-15.3	1
"ZBED3"	-19	1
"SYT4"	-17.6	1
"PDE6A"	-19.6	1
"SCO1"	-19.9	1
"PI4KA"	-19.3	1
"TMTC1"	-17.6	1
"IPO8"	-18.8	1
"IMPA1"	-18.2	1
"MICALCL"	-18.4	1
"SBF2"	-24.4	1
"C14orf1"	-19.6	1
"TTC9"	-16.6	1
"BRK1"	-16.1	1
"ARL8B"	-19	3
"EDEM1"	-18.5	1
"TRIM45"	-20.2	1
"SLC38A2"	-17.7	1
"NEDD4L"	-20.2	1
"CABLES1"	-18.5	1
"EMP1"	-17.1	2
"FADS2"	-17.5	1
"ADAM19"	-16.7	1
"USP30"	-16.1	1
"BACH2"	-17.5	1
"ELF5"	-17	1
"PRRG4"	-18.3	1
"KRT85"	-15.3	1
"TFCP2"	-16.3	1
"ACVR1B"	-17.9	1
"URB2"	-17.4	1
"STX6"	-18.6	1
"USP37"	-18.8	2
"TMBIM1"	-16.4	1
"MFSD9"	-17.1	1
"EPC2"	-17.7	1
"CHST12"	-21.1	1
"TBRG4"	-17	1
"LIMD2"	-16.1	1
"KAT7"	-20.3	1
"MARCH7"	-16.8	2
"IMP4"	-19.5	1
"UGGT1"	-19.3	2
"RALGPS1"	-16	1
"RNF38"	-17.7	1
"SIT1"	-19.4	1
"TMEM63B"	-15	1
"TTBK1"	-17.2	1
"HIST1H2AB"	-13.5	1
"SLCO5A1"	-20.2	2
"MMP13"	-14	1
"NOX5"	-21	1
"HAUS2"	-17.4	1
"RPLP1"	-17.6	1
"ADAM10"	-18.3	1
"ARHGAP29"	-16.1	1
"CYP1B1"	-17.3	1
"LRPPRC"	-16.4	1
"TIMM23"	-20.9	1
"HECW2"	-16.7	1
"ATF7IP"	-18	1
"GUCY2C"	-13.4	1
"TSPAN11"	-21.7	1
"NAP1L1"	-16.8	2
"PPP1R12A"	-18.8	1
"TMCC3"	-24.6	1
"C12orf4"	-15.8	1
"RAB21"	-23	1
"LIPG"	-20	1
"GALC"	-18.1	1
"MOCOS"	-19.4	2
"CLEC2D"	-15.9	1
"LRP6"	-18.7	1
"XYLT1"	-19.2	1
"NUP133"	-15	1
"EMG1"	-15.5	1
"MRPS27"	-20.2	2
"KLHL5"	-15.9	2
"UBE2K"	-16.3	1
"TMEM206"	-14.1	1
"POMT2"	-19.7	1
"TMEM260"	-17	1
"NOL4"	-19.1	1
"COX10"	-19.1	1
"STX2"	-17.9	1
"RIMBP2"	-17.6	1
"MPP5"	-19.6	2
"AACS"	-19.8	1
"C14orf166"	-16.3	1
"ANKRD13A"	-17.8	1
"NAA25"	-16.1	1
"MESDC2"	-17.7	1
"ARG2"	-17.4	1
"NDST1"	-22.7	1
"GNB5"	-19.8	1
"AP4E1"	-20.3	2
"SLC30A4"	-16.7	2
"PTPLAD1"	-16.5	2
"PARP16"	-16.7	1
"HCN4"	-18.4	1
"TUBGCP3"	-17.6	2
"RBM25"	-16.7	1
"VSX2"	-18.3	1
"RPS6KA5"	-17.2	4
"RBMS2"	-23.4	2
"PTGES3"	-16	1
"PIK3C3"	-19	2
"MEOX2"	-14.4	2
"PHF3"	-18.3	1
"MMD"	-13.8	1
"ZDHHC2"	-16.4	1
"TWSG1"	-18.1	1
"RPGRIP1L"	-18.9	1
"WDR59"	-16.7	1
"SMAD2"	-20.4	1
"RBFA"	-18.1	2
"ADNP2"	-17.5	1
"ARFGEF1"	-18.3	1
"ZNF839"	-17.4	1
"YY1"	-18.6	1
"ZNF175"	-19.1	2
"VMP1"	-19.2	1
"WLS"	-16.6	1
"UBN1"	-21.7	1
"WSB1"	-18.3	1
"DHX8"	-17.5	1
"CRISPLD2"	-20.1	3
"FOXF1"	-14.7	1
"SMURF2"	-20.9	1
"DNAH9"	-21	1
"CHD5"	-18.4	1
"INVS"	-19.1	1
"ISM1"	-19.5	1
"GNAO1"	-18.6	1
"GNAO1"	-18.5	2
"COQ9"	-14.4	1
"NLRC5"	-18.4	1
"ZNF629"	-17.5	1
"CHCHD3"	-13.8	1
"KAL1"	-18.5	1
"TTC39A"	-18.4	1
"AJUBA"	-20.7	1
"CDH20"	-14.8	1
"CELSR1"	-17.5	1
"PIK3R3"	-19.8	1
"RPS6KA6"	-19.5	1
"PRKX"	-20.5	1
"SAMHD1"	-17.1	1
"CSE1L"	-23.8	1
"ASPA"	-19.4	2
"ZNF264"	-20.2	1
"CCDC6"	-16.9	1
"PPM1F"	-20.8	2
"EP300"	-19.8	1
"NOVA2"	-19	3
"MREG"	-17.9	1
"ATP2B3"	-16.9	2
"PALD1"	-19.9	1
"FOXRED1"	-14.6	1
"ARID3A"	-17.5	1
"TANC1"	-16.7	1
"ACVR1"	-15.2	1
"TAF1B"	-20.2	2
"ARHGEF17"	-15.6	1
"TFCP2L1"	-18.9	1
"EPB41L5"	-20.7	2
"LHX4"	-18.7	1
"EPAS1"	-24.7	1
"LRP2"	-17	1
"CHMP3"	-20.2	1
"TNFRSF8"	-16.6	1
"PIK3CA"	-19.2	1
"SLC7A6OS"	-21	1
"DDX6"	-16.6	2
"PVRL1"	-16.8	1
"SLC5A7"	-18.8	1
"LOXL3"	-15.7	1
"CBLB"	-18.1	2
"ARHGAP31"	-19.2	1
"PCDH10"	-15.8	2
"ADAM23"	-14.8	3
"C2orf83"	-20.9	1
"CUL3"	-21.6	1
"ADD2"	-21.1	1
"MXD1"	-17.5	3
"SLC30A9"	-24	2
"FGF2"	-21	1
"BBS7"	-17.1	1
"RBBP5"	-18.8	1
"MLPH"	-15.6	3
"SRCIN1"	-18.2	1
"FNDC4"	-17.7	1
"DNAJC27"	-16.6	1
"GPN1"	-18	1
"ITGA9"	-21	2
"C3orf52"	-19.3	1
"TBC1D19"	-17.5	1
"PPARGC1A"	-17.4	1
"ARSB"	-17	1
"RAD18"	-19.4	1
"SLC12A7"	-16.6	1
"MGAT4A"	-18.7	2
"CPEB4"	-17.8	2
"RAI14"	-18.8	1
"ARRDC3"	-17.3	1
"IPCEF1"	-20.2	2
"XPO5"	-18.3	1
"SRF"	-18.4	1
"SEMA3A"	-16.7	1
"APBA1"	-18.4	1
"STAP1"	-17.4	1
"TFEC"	-16.6	2
"POLA2"	-20.2	1
"B3GAT3"	-17.5	1
"PRKAR2A"	-17.8	1
"SCAP"	-17.9	1
"NPTX2"	-17.6	1
"CPT1A"	-17.2	2
"CDC14B"	-18.5	2
"KAT6A"	-16.8	1
"SLC26A4"	-14.7	2
"DUS4L"	-14.3	1
"CDK6"	-16.4	1
"EIF4H"	-18.5	1
"ADAM28"	-17	1
"DMTN"	-19.5	1
"SH2D4A"	-17.9	1
"PDLIM2"	-16.5	1
"GTF2H1"	-18.4	1
"PIK3C2A"	-16.3	1
"BTAF1"	-13.8	1
"B4GALNT3"	-21.4	2
"CLSTN3"	-17.3	1
"LLPH"	-16.9	1
"GLIPR1"	-17.7	2
"SLC15A4"	-21	1
"N4BP2L2"	-16.9	1
"ERBB3"	-17.3	1
"ANKRD52"	-17.3	1
"VPS37B"	-17.7	1
"SRRM4"	-19.6	2
"FANCM"	-18	1
"L2HGDH"	-18	1
"RAB15"	-17.5	1
"STON2"	-21.3	1
"ITPK1"	-18.8	1
"LYSMD2"	-17.4	1
"BNIP2"	-20.6	1
"RAD51"	-19.3	3
"TTBK2"	-18.9	1
"TSPAN3"	-16.4	1
"MYLK4"	-19.7	1
"ZFHX3"	-19.3	1
"CDH11"	-16.4	1
"UNC45B"	-19.5	1
"BZRAP1"	-14.2	1
"CLTC"	-18.7	1
"TAF4B"	-17.2	1
"AFG3L2"	-17.6	1
"ESCO1"	-18.4	1
"GATA6"	-18.9	1
"NPC1"	-14	1
"TP53"	-14.9	1
"RNF165"	-18.1	1
"ZCCHC2"	-17.7	1
"ARL5C"	-20.2	1
"PPAP2C"	-15.8	1
"ZNF544"	-18.9	1
"FEM1A"	-22.9	1
"IFNAR1"	-20.6	1
"SIK1"	-15.1	1
"NTN5"	-15.9	1
"RNPEPL1"	-20.7	1
"EPN1"	-20.1	1
"SLC47A1"	-19.2	1
"SPIB"	-22.7	1
"ZNF614"	-15.6	2
"PRDM16"	-20.7	2
"C1orf216"	-17.5	1
"CTTNBP2NL"	-18.8	1
"PSMA5"	-14.8	1
"GOLPH3L"	-18.2	1
"KCNH1"	-19.5	1
"KCNN3"	-18.1	2
"ITPKB"	-16.9	1
"C1orf35"	-18.5	1
"LBR"	-17.2	1
"WNT9A"	-17.1	1
"GALM"	-14.4	1
"EXOC6B"	-17.7	1
"POLR2D"	-16.9	1
"KIAA1715"	-19.4	1
"SUMF1"	-15.2	1
"HES6"	-18.1	2
"DIS3L2"	-20.2	1
"VGLL4"	-20.5	1
"CTDSP1"	-16.6	1
"DNPEP"	-20.6	1
"LIMD1"	-20.6	2
"MAATS1"	-16.6	1
"KIAA0226"	-20	1
"STXBP5L"	-21.6	1
"DGKQ"	-22.6	1
"CORIN"	-17.1	1
"SLC10A6"	-21	1
"ENOPH1"	-18.7	1
"CCNA2"	-15.9	1
"SETD7"	-20.6	1
"FAM105A"	-19.6	1
"OSMR"	-17.7	1
"LIX1"	-13.3	1
"ADAMTS19"	-14.3	1
"TIMD4"	-20.7	1
"N4BP3"	-18.3	2
"KCNMB1"	-17.9	1
"GFRA3"	-17.7	1
"RNF44"	-17.8	1
"PHIP"	-18.2	1
"CLVS2"	-18.2	2
"SLC2A12"	-16.9	1
"QKI"	-23.9	3
"CCT6A"	-19.8	1
"DENND2A"	-16.4	1
"HTR2C"	-18.2	1
"DOCK11"	-20.1	1
"STAR"	-20.4	1
"ST18"	-23.3	1
"MAL2"	-17.3	1
"CDKN2B"	-16	1
"ASB6"	-20.2	2
"FAM73B"	-18.6	3
"DPH7"	-17.2	1
"NOTCH1"	-17.1	1
"NPFFR1"	-20.5	1
"BTBD10"	-15.1	1
"TRIM6"	-20	1
"SLC1A2"	-18.7	1
"ENDOD1"	-19.3	1
"MTA2"	-16.2	1
"SCN2B"	-18.2	1
"ORAOV1"	-18.9	1
"MMP10"	-15.4	1
"HNMT"	-17.2	1
"ADRA2A"	-14.7	1
"GPM6A"	-17.5	1
"MTMR12"	-18.2	1
"SLC5A12"	-13.2	1
"CRIM1"	-16.2	1
"PITPNM2"	-18.6	1
"SLC7A11"	-18.2	1
"BTBD11"	-17.7	1
"NRXN3"	-21	1
"C4orf33"	-18.9	1
"QDPR"	-19.5	1
"POU4F2"	-18.1	1
"MLF1IP"	-19.6	2
"EPHA4"	-19.6	2
"FARSB"	-23.3	1
"MED13L"	-17.8	1
"RNF219"	-17.6	1
"ZC3H13"	-15.8	1
"GRID2"	-17.6	2
"EPG5"	-19	1
"C18orf25"	-23.7	3
"PDK1"	-20.2	1
"FAM151B"	-20.3	1
"ZFP36L2"	-16.3	1
"FLT1"	-17.8	2
"BMP3"	-21.5	1
"HHEX"	-17.4	1
"ADAMTS18"	-14.2	1
"RAB3C"	-18.5	1
"GPR116"	-14.1	1
"TEX29"	-15.4	1
"RMND5A"	-21.6	2
"TRIP12"	-16.1	1
"ERBB2IP"	-14.8	1
"CHD1"	-12.7	1
"DGKE"	-17.1	1
"MSI2"	-21.1	1
"MAX"	-16	2
"JPH3"	-18.3	1
"UBASH3B"	-14.9	2
"FAM105B"	-17.2	1
"GPR15"	-12.2	1
"TOMM70A"	-16.4	1
"CERS3"	-16.7	1
"ATP5G3"	-19.1	1
"ADAMTS5"	-17.2	1
"SLFN13"	-18.8	1
"MYO5B"	-16.2	1
"RAB6B"	-19.2	1
"ABCC3"	-16.2	1
"VOPP1"	-17.3	1
"DKK2"	-20.9	1
"KLF10"	-20.2	1
"LONP2"	-16.4	1
"GRIA1"	-15.5	1
"NUP205"	-17.7	1
"PDE11A"	-18.6	1
"LSM11"	-16.1	1
"MED7"	-23.2	1
"TTLL5"	-21	1
"CXCL13"	-19.8	1
"WHAMM"	-19.5	1
"C14orf2"	-18.1	1
"GDF6"	-17.7	1
"UQCRB"	-20.2	1
"KCNS2"	-16	2
"UNC5D"	-19.6	1
"ZNF689"	-17	1
"FRRS1"	-20.3	1
"TIMP4"	-16.7	1
"ABCF2"	-15.6	1
"PRKAG2"	-18.1	1
"HTR5A"	-16.9	1
"PDF"	-21.2	1
"KIT"	-18.5	1
"ERC2"	-19.6	1
"FAM81A"	-16.8	1
"ZNF618"	-20.5	1
"DPYSL5"	-20.2	1
"DUSP2"	-20.2	2
"MRAS"	-16.6	1
"PPP1R9A"	-18.5	1
"CHRNB3"	-16.2	1
"TMEM141"	-16.8	1
"KPNB1"	-18.9	1
"GJD2"	-18.7	1
"UBR1"	-14.4	1
"UROC1"	-21.6	1
"SPON2"	-15.4	1
"DMPK"	-19	1
"NR2F6"	-19.7	1
"AGPAT3"	-19.2	2
"TRAPPC10"	-16.3	1
"LRRC3"	-19	3
"FAM207A"	-18.7	1
"ZNF626"	-19.3	1
"CXCR5"	-17.8	1
"PTCD1"	-20.7	1
"ACOX1"	-18	1
"TMEM143"	-13.7	1
"ITGA5"	-19.4	2
"ASB16"	-19.1	1
"ZNF613"	-19.4	1
"WNT1"	-14.6	2
"ZNF562"	-15.3	1
"ZNF563"	-15	1
"SOX8"	-17.4	1
"SLX4"	-16.9	1
"ADCY9"	-19.3	1
"CLPB"	-20.2	1
"MAP4K2"	-18.3	1
"TPCN2"	-18.9	1
"FGF19"	-17.1	1
"C1orf123"	-15.9	1
"DOCK6"	-22	1
"LHCGR"	-14.3	1
"PKDCC"	-16.9	1
"HAAO"	-19.5	1
"REL"	-19.9	1
"PQLC3"	-16.2	1
"NEUROD1"	-13	1
"SLC16A14"	-17.3	1
"INHBB"	-17.2	1
"BMP10"	-18	1
"TGFA"	-17.7	1
"FZD5"	-18.6	1
"GABRB1"	-18.6	1
"COL6A3"	-17	1
"IGFN1"	-16.2	1
"ARPC2"	-17.6	1
"TRAT1"	-19.9	1
"STT3B"	-18.9	1
"ABI2"	-21.1	2
"CDS1"	-23.3	1
"PRICKLE2"	-16.3	1
"SHROOM3"	-18.9	1
"TM4SF18"	-17.1	1
"ZDHHC3"	-21.7	2
"CDCP1"	-17.1	1
"LZTFL1"	-18.2	1
"FYCO1"	-19.5	1
"DTX3L"	-19.8	1
"OSBPL11"	-17.6	2
"KLF15"	-17.9	1
"C3orf65"	-15.7	1
"RFT1"	-18.9	1
"IL17RD"	-18.8	1
"UBXN7"	-22.8	3
"PGRMC2"	-18.5	1
"PLXNB1"	-20.4	1
"BSN"	-17.6	1
"POC1A"	-17.1	2
"WDR82"	-17.8	1
"CEP44"	-21.3	1
"NPY1R"	-14	1
"NAA15"	-15.1	1
"IL15"	-15.9	1
"TMEM184C"	-20.2	1
"ANKRD33B"	-17.7	1
"PRRC1"	-16.7	1
"GPX8"	-24.5	1
"MAP1B"	-17	1
"NSA2"	-14	1
"TERT"	-16.9	1
"CCDC127"	-19.4	1
"SAP30L"	-18.2	1
"MYOZ3"	-21.2	2
"C7orf60"	-22.6	1
"LMTK2"	-18.1	1
"PHAX"	-18.7	1
"SLC25A32"	-18.2	1
"CNTNAP3"	-17.3	2
"KIF27"	-14.5	1
"FBXO33"	-14.7	2
"PGM2L1"	-18.8	1
"SLC37A2"	-20.2	1
"PKNOX2"	-15.3	1
"RPUSD4"	-16.4	1
"FAM175B"	-18.8	1
"TMEM52B"	-16	1
"DUSP16"	-19.9	1
"GAS1"	-12.6	1
"ISCA2"	-17.7	1
"R3HCC1L"	-16.3	2
"BCCIP"	-13.8	1
"IKBIP"	-16.5	1
"HIF1AN"	-22.7	3
"ADAMTS15"	-20.3	1
"TMEM132B"	-20.2	1
"TRIM44"	-16.2	3
"TPP1"	-18.1	1
"CYB5A"	-23.5	1
"RAG1"	-19.9	1
"POTED"	-16.3	1
"IDH3A"	-19.6	1
"CLEC4D"	-18.8	1
"HSP90B1"	-17.3	1
"PPP1R16B"	-15	1
"TVP23A"	-16.4	1
"SLFN5"	-17.5	1
"PPIB"	-23.2	1
"UEVLD"	-19.8	1
"PATL1"	-18.6	1
"PDIA3"	-15.4	1
"PHB"	-15.7	1
"SNRPD1"	-20.3	1
"TMEM92"	-15.7	1
"GPRC5B"	-19.9	1
"MED1"	-17.4	1
"CD3D"	-17.3	1
"PRRT2"	-16.6	1
"USP32"	-14.6	1
"ZNF641"	-17.8	1
"LALBA"	-22	1
"WNT10B"	-19.2	1
"GPD1"	-18.2	1
"DIP2B"	-15.1	1
"ZNF526"	-17.8	1
"SLC43A2"	-22.4	1
"CD209"	-16.4	1
"NUDT8"	-13.1	1
"GHDC"	-21	1
"MLST8"	-15.8	1
"SDHAF2"	-22.3	1
"VPS37C"	-17.8	2
"SLC22A11"	-22.1	3
"SCARA3"	-17.2	2
"LRRC28"	-19.4	1
"PYGO1"	-20.4	1
"SLAMF1"	-19.4	1
"DNAJC18"	-19.4	3
"FUT9"	-18.6	1
"PCSK9"	-19.2	2
"SDC2"	-18.5	1
"ING2"	-16	1
"MCC"	-18.2	1
"KCNAB1"	-15.7	1
"C2ORF15"	-16.7	1
"SLC25A33"	-18.2	2
"SPRY3"	-20	1
"STARD5"	-19	1
"ACHE"	-20.1	1
"SEPSECS"	-16.6	1
"FAM189A2"	-16.4	1
"C20orf196"	-14.9	1
"COL8A2"	-14.8	1
"C8orf22"	-15	1
"EMB"	-18.8	2
"HCN1"	-17	1
"HIPK3"	-17.1	1
"ARF4"	-15.3	1
"PRKCB"	-19.6	1
"PDS5A"	-19.2	1
"TMED10"	-17.7	1
"N6AMT1"	-19.8	1
"HAS2"	-18	1
"ARAP2"	-16.1	1
"AGAP1"	-19.8	3
"ADCYAP1R1"	-18.3	2
"TMEM154"	-18.7	3
"ARL6IP1"	-18.8	1
"SLC6A19"	-17.7	1
"RASSF5"	-16.7	1
"ECEL1"	-18.1	1
"SHE"	-20.7	1
"LONRF3"	-16.4	1
"SIK2"	-22.6	2
"ZNHIT1"	-18.6	1
"IRS1"	-19.2	1
"GAP43"	-13.1	1
"UGT1A6"	-19.4	1
"ESCO2"	-20.9	1
"UGT1A8"	-19.4	1
"SIRT6"	-16.2	1
"S1PR1"	-17.4	2
"CERS6"	-21	2
"CEP89"	-15.8	1
"DTYMK"	-22.5	1
"RNF187"	-16.6	1
"MBOAT2"	-22.2	1
"LRP8"	-18.8	1
"TRIM56"	-17	1
"ALCAM"	-22.7	1
"ZPLD1"	-13.5	1
"STX18"	-14.8	1
"GBX2"	-23.4	3
"HOXD4"	-16.6	1
"C2orf68"	-19.6	2
"TMEM150A"	-16.1	1
"ETV5"	-17.2	1
"VAMP5"	-14.5	1
"HAS3"	-16.2	1
"NPTX1"	-18.9	3
"B4GALT6"	-21.6	2
"COG8"	-21.2	1
"CHRNA7"	-16.4	2
"C7orf33"	-20.6	1
"USP38"	-20.5	1
"MAP2K1"	-16.6	1
"INSM2"	-13.7	1
"ABHD15"	-18.4	2
"GIMAP8"	-19.3	1
"SLCO1A2"	-16.5	1
"RASSF6"	-20.5	1
"YWHAG"	-24.2	1
"MLLT10"	-22.6	1
"RP11-1055B8.7"	-19.8	1
"RXFP1"	-19.3	2
"HAVCR2"	-16.9	1
"DDX23"	-17.5	1
"FRG2C"	-16.9	1
"CHST1"	-18.5	1
"FAM53A"	-15.3	2
"GOLT1A"	-14	1
"SLFN11"	-15.7	1
"STOX2"	-18.1	1
"CSPG4"	-17.8	1
"TMOD3"	-19.7	1
"ADRBK1"	-17.9	1
"MARCH3"	-18	2
"ABCD2"	-18.7	2
"ZNF622"	-16.7	1
"PSMD1"	-18.3	1
"AP1G2"	-15.1	1
"ZHX3"	-21.7	1
"DSCR3"	-21	1
"TMEM9B"	-16.1	1
"HFE"	-18.8	1
"PPARGC1B"	-18.3	1
"MOB1B"	-16.8	2
"ATG4D"	-20.7	1
"C4orf32"	-18.7	1
