"ensembl_gene_id"	"external_gene_name"	"kb"	"x"	"FPKM"
"ENSG00000003096"	"KLHL13"	5.331	22.6144399995069	4.2420634026462
"ENSG00000003137"	"CYP26B1"	4.732	14.7149393324542	3.1096659620571
"ENSG00000003147"	"ICA1"	2.44	3.82301595540014	1.56680981778694
"ENSG00000003249"	"DBNDD1"	2.889	23.350992919586	8.08272513658219
"ENSG00000003393"	"ALS2"	6.675	48.6120317580255	7.28270138697011
"ENSG00000003400"	"CASP10"	5.928	13.8558921042489	2.33736371529166
"ENSG00000003402"	"CFLAR"	14.612	18.8141315849362	1.28758086401151
"ENSG00000003436"	"TFPI"	7.69	5.62379248931418	0.731312417336045
"ENSG00000003509"	"NDUFAF7"	2.974	18.4678784931631	6.2097775699943
"ENSG00000003756"	"RBM5"	5.616	123.136360566456	21.9259901293546
"ENSG00000003987"	"MTMR7"	5.11	1.50140860001269	0.293817729943775
"ENSG00000003989"	"SLC7A2"	7.638	60.7629790204608	7.95535205819072
"ENSG00000004059"	"ARF5"	1.509	89.6734966091309	59.4257764142683
"ENSG00000004139"	"SARM1"	10.277	17.4402907224574	1.69702157462853
"ENSG00000004142"	"POLDIP2"	2.67	208.934265718537	78.2525339769801
"ENSG00000004399"	"PLXND1"	7.094	92.434919571145	13.0300140359663
"ENSG00000004455"	"AK2"	5.97	458.839201516675	76.8574876912354
"ENSG00000004468"	"CD38"	5.62	0	0
"ENSG00000004478"	"FKBP4"	3.715	444.186452786805	119.565666968184
"ENSG00000004487"	"KDM1A"	3.059	293.224868605131	95.8564460951719
"ENSG00000004534"	"RBM6"	4.324	125.108974321669	28.933620333411
"ENSG00000004660"	"CAMKK1"	3.898	39.8515663279885	10.2235932088221
"ENSG00000004700"	"RECQL"	3.745	50.3988223663802	13.4576294703285
"ENSG00000004766"	"VPS50"	5.736	19.7684324992968	3.4463794454841
"ENSG00000004776"	"HSPB6"	1.46	0.473320084332587	0.324191838583963
"ENSG00000004777"	"ARHGAP33"	4.219	14.3009546688844	3.38965505306574
"ENSG00000004779"	"NDUFAB1"	0.885	87.2267372631869	98.561285043149
"ENSG00000004799"	"PDK4"	3.601	3.31115874015439	0.919510897015937
"ENSG00000004809"	"SLC22A16"	2.033	0	0
"ENSG00000004838"	"ZMYND10"	1.774	2.06679233008242	1.16504640929111
"ENSG00000004846"	"ABCB5"	5.811	0.0274294662247816	0.00472026608583404
"ENSG00000004848"	"ARX"	2.893	0.0864494156378694	0.0298822729477599
"ENSG00000004864"	"SLC25A13"	3.192	50.9956756657311	15.9760888677102
"ENSG00000004866"	"ST7"	2.899	12.1101201903789	4.17734397736424
"ENSG00000004897"	"CDC27"	5.83	134.829750577554	23.1268868915187
"ENSG00000004939"	"SLC4A1"	4.954	0.00883084550753695	0.00178256873385889
"ENSG00000004948"	"CALCR"	3.829	0.0366467045340498	0.00957082907653429
"ENSG00000004961"	"HCCS"	2.312	41.1433716400891	17.7955759688967
"ENSG00000004975"	"DVL2"	2.989	153.302317395184	51.2888315139457
"ENSG00000005001"	"PRSS22"	1.383	0.0964793131088825	0.0697608916188594
"ENSG00000005007"	"UPF1"	5.348	366.242694944433	68.4821793089815
"ENSG00000005020"	"SKAP2"	3.839	41.4227388797702	10.7899814742824
"ENSG00000005022"	"SLC25A5"	1.307	832.482950601042	636.941813772794
"ENSG00000005059"	"MCUB"	2.23	17.2622726589786	7.74092944348818
"ENSG00000005073"	"HOXA11"	2.295	23.4331357397967	10.2105166622208
"ENSG00000005075"	"POLR2J"	0.932	38.6295822441107	41.4480496181445
"ENSG00000005100"	"DHX33"	5.535	137.625498329676	24.8645886774482
"ENSG00000005102"	"MEOX1"	2.674	0.239136923992979	0.0894304128619965
"ENSG00000005108"	"THSD7A"	10.655	0.0714577601698789	0.00670650025057521
"ENSG00000005156"	"LIG3"	8.382	100.981495297481	12.0474224883657
"ENSG00000005175"	"RPAP3"	4.339	65.1147637436138	15.0068595859907
"ENSG00000005187"	"ACSM3"	3.311	12.5050108243756	3.77680785997452
"ENSG00000005189"	"REXO5"	2.722	30.067575631243	11.0461335897293
"ENSG00000005194"	"CIAPIN1"	2.021	90.787315929923	44.9219772043162
"ENSG00000005206"	"SPPL2B"	3.691	69.9903432258273	18.9624338189725
"ENSG00000005238"	"FAM214B"	5.771	2.79729921397105	0.484716550679441
"ENSG00000005243"	"COPZ2"	0.914	0.334202966048519	0.365648759352865
"ENSG00000005249"	"PRKAR2B"	3.689	36.2296104462532	9.82098412747443
"ENSG00000005302"	"MSL3"	6.544	42.2384901672803	6.45453700600249
"ENSG00000005339"	"CREBBP"	10.803	172.00708754424	15.9221593579784
"ENSG00000005379"	"TSPOAP1"	7.698	0.0781082993386629	0.0101465704518918
"ENSG00000005381"	"MPO"	3.216	0	0
"ENSG00000005421"	"PON1"	2.393	0.0177627972166964	0.00742281538516356
"ENSG00000005436"	"GCFC2"	4.367	59.4153547240149	13.6055311939581
"ENSG00000005448"	"WDR54"	2.356	48.791453056196	20.7094452700323
"ENSG00000005469"	"CROT"	3.175	12.1233896700742	3.81839044726747
"ENSG00000005471"	"ABCB4"	4.269	1.26286986440298	0.295823346077064
"ENSG00000005483"	"KMT2E"	7.782	70.4203729098032	9.04913555767196
"ENSG00000005486"	"RHBDD2"	1.878	54.5394245657038	29.0412271382874
"ENSG00000005513"	"SOX8"	4.153	25.9265728689029	6.2428540498201
"ENSG00000005700"	"IBTK"	6.04	113.016098959281	18.7112746621326
"ENSG00000005801"	"ZNF195"	9.943	27.9372966393419	2.80974521164054
"ENSG00000005810"	"MYCBP2"	15.077	137.139493114858	9.09594038037129
"ENSG00000005812"	"FBXL3"	3.506	49.2361280438754	14.0433907712137
"ENSG00000005844"	"ITGAL"	5.129	0.21785856503857	0.0424758364278749
"ENSG00000005882"	"PDK2"	3.364	16.2281941848719	4.82407674936739
"ENSG00000005884"	"ITGA3"	5.479	10.7718402063997	1.9660230345683
"ENSG00000005889"	"ZFX"	7.558	117.718659204053	15.5753716861674
"ENSG00000005893"	"LAMP2"	4.03	171.01180001742	42.4346898306254
"ENSG00000005961"	"ITGA2B"	3.479	10.0856947768736	2.8990212063448
"ENSG00000005981"	"ASB4"	3.784	0.00889222098193524	0.00234995269078627
"ENSG00000006007"	"GDE1"	2.907	62.7204431030805	21.5756598221811
"ENSG00000006015"	"REX1BD"	2.465	27.5985141974924	11.1961518042565
"ENSG00000006016"	"CRLF1"	1.741	43.2704038045203	24.853764390879
"ENSG00000006025"	"OSBPL7"	4.497	1.99199102503889	0.442959978883454
"ENSG00000006042"	"TMEM98"	4.218	50.4574252474582	11.9624052269934
"ENSG00000006047"	"YBX2"	4.553	0.447259403930221	0.0982340004239448
"ENSG00000006059"	"KRT33A"	1.303	0	0
"ENSG00000006062"	"MAP3K14"	4.583	8.40519350275764	1.83399378196763
"ENSG00000006071"	"ABCC8"	6.565	13.4173246901694	2.04376613711644
"ENSG00000006116"	"CACNG3"	3.088	0	0
"ENSG00000006118"	"TMEM132A"	3.981	95.0592393730471	23.8782314426142
"ENSG00000006125"	"AP2B1"	5.702	374.801329179465	65.7315554506253
"ENSG00000006128"	"TAC1"	1.061	0	0
"ENSG00000006194"	"ZNF263"	3.282	61.7808257815114	18.8241394824837
"ENSG00000006210"	"CX3CL1"	5.796	0.0534427507616823	0.00922062642541102
"ENSG00000006282"	"SPATA20"	3.539	36.4725983005588	10.3059051428536
"ENSG00000006283"	"CACNA1G"	8.602	9.44386948352922	1.09786904016848
"ENSG00000006327"	"TNFRSF12A"	1.678	26.8952518387217	16.0281596178318
"ENSG00000006377"	"DLX6"	2.3	8.01037245550583	3.48277063282862
"ENSG00000006432"	"MAP3K9"	11.169	49.1481194629878	4.40040464347639
"ENSG00000006451"	"RALA"	2.787	70.9446550061668	25.455563331958
"ENSG00000006453"	"BAIAP2L1"	3.645	59.7081752486203	16.3808436896078
"ENSG00000006459"	"KDM7A"	9.22	49.1862355442192	5.33473270544677
"ENSG00000006468"	"ETV1"	6.459	4.88361011427385	0.756093840265344
"ENSG00000006530"	"AGK"	3.874	80.516645223102	20.783852664714
"ENSG00000006534"	"ALDH3B1"	5.884	4.68744453186604	0.796642510514283
"ENSG00000006555"	"TTC22"	3.401	0.00917238353815449	0.00269696663868112
"ENSG00000006576"	"PHTF2"	5.198	41.0540831289514	7.89805369929808
"ENSG00000006606"	"CCL26"	0.703	0.156090920021685	0.222035448110505
"ENSG00000006607"	"FARP2"	6.065	112.025483840819	18.4708134939521
"ENSG00000006611"	"USH1C"	3.241	17.7790576926018	5.4856703772298
"ENSG00000006625"	"GGCT"	1.158	97.0202859693678	83.7826303707839
"ENSG00000006634"	"DBF4"	3.655	54.8969148032487	15.019675732763
"ENSG00000006638"	"TBXA2R"	2.608	4.10726564693084	1.57487179713606
"ENSG00000006652"	"IFRD1"	3.397	85.926272502454	25.2947519877698
"ENSG00000006659"	"LGALS14"	0.773	0	0
"ENSG00000006695"	"COX10"	4.948	29.8027737979631	6.02319599797152
"ENSG00000006704"	"GTF2IRD1"	5.868	48.7582737674252	8.30918094196067
"ENSG00000006712"	"PAF1"	2.2	98.3263035068251	44.6937743212841
"ENSG00000006715"	"VPS41"	5.854	52.8225258624112	9.02332180772313
"ENSG00000006740"	"ARHGAP44"	4.428	38.8859062983335	8.78182165725689
"ENSG00000006744"	"ELAC2"	3.767	213.113244102321	56.5737308474438
"ENSG00000006747"	"SCIN"	9.682	0.079073489318086	0.00816706148709833
"ENSG00000006756"	"ARSD"	5.145	0.0709568945540024	0.0137914275129256
"ENSG00000006757"	"PNPLA4"	3.342	8.57694126014792	2.56640971279112
"ENSG00000006788"	"MYH13"	6.067	0.0589913535905933	0.00972331524486456
"ENSG00000006831"	"ADIPOR2"	3.971	135.441091981423	34.1075527528136
"ENSG00000006837"	"CDKL3"	2.222	0.880159644846215	0.396111451325929
"ENSG00000007001"	"UPP2"	2.435	0.0770254350594668	0.031632622201013
"ENSG00000007038"	"PRSS21"	1.106	0	0
"ENSG00000007047"	"MARK4"	5.209	61.323124686486	11.7725330555742
"ENSG00000007062"	"PROM1"	4.349	0.0446217696388143	0.010260236753004
"ENSG00000007080"	"CCDC124"	1.055	214.720792457781	203.526817495527
"ENSG00000007129"	"CEACAM21"	1.691	0.0177627972166964	0.0105043153262545
"ENSG00000007168"	"PAFAH1B1"	5.589	108.823911558875	19.4710881300546
"ENSG00000007171"	"NOS2"	4.206	21.0675470267934	5.00892701540499
"ENSG00000007174"	"DNAH9"	13.711	0.103615180198728	0.00755708410755805
"ENSG00000007202"	"KIAA0100"	7.428	238.692153008749	32.134107836396
"ENSG00000007216"	"SLC13A2"	2.855	0.00830662255783635	0.00290950002025792
"ENSG00000007237"	"GAS7"	8.033	18.7256185658744	2.3310865885565
"ENSG00000007255"	"TRAPPC6A"	0.805	13.1387759457393	16.3214608021606
"ENSG00000007264"	"MATK"	2.098	75.6663431594002	36.0659404954243
"ENSG00000007306"	"CEACAM7"	2.489	0	0
"ENSG00000007312"	"CD79B"	1.269	0.19207851158902	0.151362105271095
"ENSG00000007314"	"SCN4A"	7.805	10.2062816124063	1.30765939941144
"ENSG00000007341"	"ST7L"	4.483	20.0145204256496	4.46453723525533
"ENSG00000007350"	"TKTL1"	2.566	0.157897262430123	0.0615343968940464
"ENSG00000007372"	"PAX6"	6.975	43.1197680294154	6.18204559561511
"ENSG00000007376"	"RPUSD1"	2.159	100.656918520142	46.6220095044662
"ENSG00000007384"	"RHBDF1"	2.992	24.3852453205772	8.1501488370913
"ENSG00000007392"	"LUC7L"	2.737	94.6343579422524	34.5759437129165
"ENSG00000007402"	"CACNA2D2"	5.476	24.85174693567	4.53830294661614
"ENSG00000007516"	"BAIAP3"	4.732	9.76904981932298	2.064465304168
"ENSG00000007520"	"TSR3"	1.21	60.8577569023603	50.2956668614548
"ENSG00000007541"	"PIGQ"	3.006	81.143866604107	26.9939675995033
"ENSG00000007545"	"CRAMP1"	7.772	32.8372888066673	4.22507575999322
"ENSG00000007866"	"TEAD3"	2.986	19.6717680893234	6.58800002991407
"ENSG00000007908"	"SELE"	3.875	0	0
"ENSG00000007923"	"DNAJC11"	3.201	78.2005895752847	24.4300498516978
"ENSG00000007933"	"FMO3"	2.059	0.0701830357475575	0.0340859814218346
"ENSG00000007944"	"MYLIP"	3.072	10.6895642668413	3.4796758681124
"ENSG00000007952"	"NOX1"	2.543	0.592896442908998	0.23314842426622
"ENSG00000007968"	"E2F2"	5.196	86.5411353490607	16.655337826994
"ENSG00000008018"	"PSMB1"	1.939	153.945387181477	79.3942172158212
"ENSG00000008056"	"SYN1"	3.21	0.583684477244058	0.181833170481015
"ENSG00000008083"	"JARID2"	6.003	52.3887420742056	8.72709346563479
"ENSG00000008086"	"CDKL5"	14.572	3.89634752152046	0.267385912813647
"ENSG00000008118"	"CAMK1G"	3.089	0	0
"ENSG00000008128"	"CDK11A"	2.984	0.954827497566911	0.319982405350842
"ENSG00000008130"	"NADK"	3.653	118.979776167173	32.5704287345121
"ENSG00000008196"	"TFAP2B"	5.631	0	0
"ENSG00000008197"	"TFAP2D"	1.711	0	0
"ENSG00000008226"	"DLEC1"	6.899	0.639970554867963	0.0927627996619747
"ENSG00000008256"	"CYTH3"	4.508	63.5361663321706	14.0940919104194
"ENSG00000008277"	"ADAM22"	9.334	28.2328700388009	3.02473430884946
"ENSG00000008282"	"SYPL1"	2.151	54.02198819346	25.114824822622
"ENSG00000008283"	"CYB561"	3.2	34.4575310049068	10.7679784390334
"ENSG00000008294"	"SPAG9"	8.276	240.99292922336	29.119493622929
"ENSG00000008300"	"CELSR3"	11.933	61.6952878317187	5.17014060435085
"ENSG00000008311"	"AASS"	5.825	37.8727078927156	6.50175242793401
"ENSG00000008323"	"PLEKHG6"	3.111	0.322086399769743	0.103531468907021
"ENSG00000008324"	"SS18L2"	1.047	24.3663559376595	23.2725462632851
"ENSG00000008382"	"MPND"	1.611	12.3984855780582	7.69614250655384
"ENSG00000008394"	"MGST1"	2.152	11.1068778366493	5.16118858580359
"ENSG00000008405"	"CRY1"	3.834	38.6923257906139	10.0918950940568
"ENSG00000008438"	"PGLYRP1"	0.708	0.73294204945874	1.0352288834163
"ENSG00000008441"	"NFIX"	5.459	37.1233275227078	6.80038972755226
"ENSG00000008513"	"ST3GAL1"	6.951	37.0349389690178	5.32800157804888
"ENSG00000008516"	"MMP25"	3.674	2.42555920442298	0.660195755150512
"ENSG00000008517"	"IL32"	1.381	0.0420983581876746	0.0304839668267014
"ENSG00000008710"	"PKD1"	14.138	127.449949408626	9.01470854495873
"ENSG00000008735"	"MAPK8IP2"	5.7	88.4621428026515	15.5196741759038
"ENSG00000008838"	"MED24"	3.896	184.531726630592	47.364406219351
"ENSG00000008853"	"RHOBTB2"	5.451	14.5734939592203	2.67354503012664
"ENSG00000008869"	"HEATR5B"	6.937	77.1345795624831	11.1192993458964
"ENSG00000008952"	"SEC62"	6.526	100.997920987413	15.4762367433976
"ENSG00000008988"	"RPS20"	1.826	409.87194696045	224.464374019962
"ENSG00000009307"	"CSDE1"	4.312	819.312576776692	190.007554911107
"ENSG00000009335"	"UBE3C"	5.214	224.469824650431	43.0513664461893
"ENSG00000009413"	"REV3L"	10.964	76.0597588226681	6.93722718192887
"ENSG00000009694"	"TENM1"	12.891	40.5874389488945	3.14850973150993
"ENSG00000009709"	"PAX7"	6.213	2.57053476063108	0.413734872144065
"ENSG00000009724"	"MASP2"	2.455	1.74186342074523	0.709516668327997
"ENSG00000009765"	"IYD"	8.742	0	0
"ENSG00000009780"	"FAM76A"	3.567	26.1342873055909	7.32668553562964
"ENSG00000009790"	"TRAF3IP3"	3.302	5.44432450892086	1.6487960354091
"ENSG00000009830"	"POMT2"	5.647	57.5931456064712	10.1988924396089
"ENSG00000009844"	"VTA1"	6.991	89.8037135983814	12.845617736859
"ENSG00000009950"	"MLXIPL"	3.252	24.683932393577	7.59038511487606
"ENSG00000009954"	"BAZ1B"	6.115	354.906320621286	58.0386460541759
"ENSG00000010017"	"RANBP9"	3.384	50.7137227067756	14.9863246769431
"ENSG00000010030"	"ETV7"	1.776	0.0354442901062905	0.0199573705553437
"ENSG00000010072"	"SPRTN"	3.559	47.3201611784376	13.2959149138628
"ENSG00000010165"	"EEF1AKNMT"	3.368	79.2042567790332	23.5167033191904
"ENSG00000010219"	"DYRK4"	3.272	18.84170402064	5.75846699897312
"ENSG00000010244"	"ZNF207"	13.781	171.853092634855	12.4702918971667
"ENSG00000010256"	"UQCRC1"	1.595	361.155061676683	226.429505753407
"ENSG00000010270"	"STARD3NL"	3.653	43.9541395153556	12.03234040935
"ENSG00000010278"	"CD9"	1.744	34.6672686874853	19.8780210364021
"ENSG00000010282"	"HHATL"	1.836	0.00830662255783635	0.00452430422540106
"ENSG00000010292"	"NCAPD2"	4.825	304.454950635448	63.0994716342898
"ENSG00000010295"	"IFFO1"	3.101	45.5144899226277	14.6773588915278
"ENSG00000010310"	"GIPR"	3.404	4.04347002230459	1.18785840843261
"ENSG00000010318"	"PHF7"	2.127	18.9709532154002	8.91911293624831
"ENSG00000010319"	"SEMA3G"	4.993	23.1734465267575	4.64118696710544
"ENSG00000010322"	"NISCH"	5.35	201.953656958237	37.7483470949976
"ENSG00000010327"	"STAB1"	7.928	0.401546859596429	0.05064920025182
"ENSG00000010361"	"FUZ"	1.728	36.9009089493223	21.354692679006
"ENSG00000010379"	"SLC6A13"	2.188	0.259413738960588	0.118562037916173
"ENSG00000010404"	"IDS"	7.58	82.6300618442666	10.9010635678452
"ENSG00000010438"	"PRSS3"	1.144	0.0259897519292155	0.0227183146234401
"ENSG00000010539"	"ZNF200"	4.308	26.2090727814692	6.08381448037819
"ENSG00000010610"	"CD4"	3.049	0.250998739960452	0.0823216595475408
"ENSG00000010626"	"LRRC23"	1.698	4.93270271096108	2.90500748584281
"ENSG00000010671"	"BTK"	2.767	0.328527612759981	0.118730615381273
"ENSG00000010704"	"HFE"	5.286	0.0620216998518081	0.0117332008800242
"ENSG00000010803"	"SCMH1"	3.323	86.4018056843872	26.0011452556085
"ENSG00000010810"	"FYN"	3.628	129.215003661718	35.6160429056553
"ENSG00000010818"	"HIVEP2"	10.032	31.3645161952263	3.12644698915733
"ENSG00000010932"	"FMO1"	3.13	0.384724009782564	0.122915019099861
"ENSG00000011007"	"ELOA"	5.154	88.3978336562845	17.1513064913241
"ENSG00000011009"	"LYPLA2"	1.635	43.2202618331804	26.434410907144
"ENSG00000011021"	"CLCN6"	5.631	25.1643347361702	4.46889268978338
"ENSG00000011028"	"MRC2"	5.719	51.5597169031121	9.01551266010004
"ENSG00000011052"	"NME1-NME2"	1.193	0	0
"ENSG00000011083"	"SLC6A7"	3.625	0	0
"ENSG00000011105"	"TSPAN9"	4.322	28.1463107582628	6.5123347427725
"ENSG00000011114"	"BTBD7"	8.445	69.227749658004	8.19748367767958
"ENSG00000011132"	"APBA3"	4.25	21.4923622318513	5.05702640749441
"ENSG00000011143"	"MKS1"	2.397	32.1438721380026	13.4100426107645
"ENSG00000011198"	"ABHD5"	5.298	23.4147870830039	4.41955211079726
"ENSG00000011201"	"ANOS1"	6.265	0	0
"ENSG00000011243"	"AKAP8L"	2.749	67.3718116421377	24.5077525071436
"ENSG00000011258"	"MBTD1"	5.365	48.8478749679614	9.10491611704779
"ENSG00000011260"	"UTP18"	1.876	91.5861001109333	48.819882788344
"ENSG00000011275"	"RNF216"	5.639	106.116761444921	18.818365214563
"ENSG00000011295"	"TTC19"	3.075	92.6156790962408	30.1189200312978
"ENSG00000011304"	"PTBP1"	4.661	886.279893245579	190.148013998193
"ENSG00000011332"	"DPF1"	2.356	18.5721950239508	7.88293506958863
"ENSG00000011347"	"SYT7"	4.854	23.0829727271953	4.75545379629074
"ENSG00000011376"	"LARS2"	10.049	156.411889265281	15.5649208145368
"ENSG00000011405"	"PIK3C2A"	8.227	119.409209989708	14.5143077658572
"ENSG00000011422"	"PLAUR"	1.61	12.9086904735463	8.01782016990452
"ENSG00000011426"	"ANLN"	4.731	141.30943904585	29.8688309122489
"ENSG00000011451"	"WIZ"	6.299	90.3665578201356	14.3461752373608
"ENSG00000011454"	"RABGAP1"	4.986	57.2938522081292	11.4909450878719
"ENSG00000011465"	"DCN"	6.85	0.0758738422025185	0.0110764733142363
"ENSG00000011478"	"QPCTL"	2.125	48.9726562612792	23.0459558876608
"ENSG00000011485"	"PPP5C"	4.675	155.721845214637	33.3094856074089
"ENSG00000011523"	"CEP68"	5.803	47.3075360799122	8.15225505426713
"ENSG00000011566"	"MAP4K3"	4.335	32.4163486413717	7.47781975579509
"ENSG00000011590"	"ZBTB32"	2.037	0.139404417027576	0.0684361399251722
"ENSG00000011600"	"TYROBP"	0.62	0	0
"ENSG00000011638"	"TMEM159"	2.014	18.2149454038458	9.04416355702375
"ENSG00000011677"	"GABRA3"	3.669	0.19194752720773	0.0523160335807387
"ENSG00000012048"	"BRCA1"	7.27	129.540071188872	17.818441704109
"ENSG00000012061"	"ERCC1"	3.828	33.739898716914	8.81397563137774
"ENSG00000012124"	"CD22"	3.274	0.123367703443257	0.0376810334279954
"ENSG00000012171"	"SEMA3B"	3.283	4.21635326689496	1.2842988933582
"ENSG00000012174"	"MBTPS2"	4.457	78.1195494245826	17.5273837614051
"ENSG00000012211"	"PRICKLE3"	2.795	36.6510051928173	13.1130608918845
"ENSG00000012223"	"LTF"	2.721	0	0
"ENSG00000012232"	"EXTL3"	8.257	81.7297413981896	9.89823681702672
"ENSG00000012504"	"NR1H4"	2.884	0	0
"ENSG00000012660"	"ELOVL5"	3.081	185.432231885847	60.1857292716153
"ENSG00000012779"	"ALOX5"	2.519	0.53238987689214	0.211349693089377
"ENSG00000012817"	"KDM5D"	5.579	0.0436893961982438	0.00783104430870117
"ENSG00000012822"	"CALCOCO1"	5.866	29.7393469978869	5.06978298634281
"ENSG00000012963"	"UBR7"	3.494	74.0989436474891	21.2074824406094
"ENSG00000012983"	"MAP4K5"	4.812	64.1051749453727	13.3219399304598
"ENSG00000013016"	"EHD3"	4.825	33.5222249201057	6.94761138240532
"ENSG00000013275"	"PSMC4"	1.754	136.260268549229	77.6854438707122
"ENSG00000013288"	"MAN2B2"	7.719	38.3322852771982	4.96596518683743
"ENSG00000013293"	"SLC7A14"	10.14	0	0
"ENSG00000013297"	"CLDN11"	2.169	0.200722432597585	0.0925414627005925
"ENSG00000013306"	"SLC25A39"	2.217	207.219122879615	93.4682556967142
"ENSG00000013364"	"MVP"	2.925	16.3806189027656	5.60021159068909
"ENSG00000013374"	"NUB1"	3.21	114.45625514402	35.6561542504734
"ENSG00000013375"	"PGM3"	6.079	62.2243325826863	10.2359487716214
"ENSG00000013392"	"RWDD2A"	3.769	8.30714359529051	2.20407099901579
"ENSG00000013441"	"CLK1"	3.208	35.8239868927045	11.167078208449
"ENSG00000013503"	"POLR3B"	4.183	68.9100076850704	16.4738244525628
"ENSG00000013523"	"ANGEL1"	5.128	99.606518345458	19.4240480392859
"ENSG00000013561"	"RNF14"	4.213	42.4864007121864	10.084595469306
"ENSG00000013563"	"DNASE1L1"	3.008	6.28965026467312	2.09097415713867
"ENSG00000013573"	"DDX11"	4.182	126.100353055045	30.1531212470218
"ENSG00000013583"	"HEBP1"	2.056	42.7808664291211	20.8078144110511
"ENSG00000013588"	"GPRC5A"	7.362	2.63879872929075	0.35843503522015
"ENSG00000013619"	"MAMLD1"	4.854	10.9242054710303	2.25055736939232
"ENSG00000013725"	"CD6"	3.252	0	0
"ENSG00000013810"	"TACC3"	2.943	131.975174041843	44.8437560454785
"ENSG00000014123"	"UFL1"	4.226	51.0347278052224	12.0763672042646
"ENSG00000014138"	"POLA2"	3.544	84.1387894120866	23.7411934007016
"ENSG00000014164"	"ZC3H3"	3.27	40.3436257111482	12.3375002174765
"ENSG00000014216"	"CAPN1"	3.086	101.355471442962	32.8436394824894
"ENSG00000014257"	"ACPP"	3.174	0.488053469802915	0.153766058539041
"ENSG00000014641"	"MDH1"	1.647	148.288935460673	90.0357835219629
"ENSG00000014824"	"SLC30A9"	6.164	112.42310323415	18.2386604857479
"ENSG00000014914"	"MTMR11"	3.332	2.77027281437411	0.831414410076264
"ENSG00000014919"	"COX15"	2.788	104.988980933797	37.6574537065268
"ENSG00000015133"	"CCDC88C"	7.519	41.2527651599031	5.48646963158706
"ENSG00000015153"	"YAF2"	5.095	15.8287882633682	3.10672978672585
"ENSG00000015171"	"ZMYND11"	4.229	30.5429477162487	7.22226240630142
"ENSG00000015285"	"WAS"	1.849	1.032825891072	0.558586203932936
"ENSG00000015413"	"DPEP1"	1.772	0.339034859577808	0.19132892752698
"ENSG00000015475"	"BID"	2.495	22.9199277258752	9.18634377790591
"ENSG00000015479"	"MATR3"	7.306	549.710842438227	75.2410131998668
"ENSG00000015520"	"NPC1L1"	5.048	0.669040180166023	0.132535693376787
"ENSG00000015532"	"XYLT2"	3.507	52.6360858992645	15.008863957589
"ENSG00000015568"	"RGPD5"	7.268	0.0664344340215887	0.00914067611744478
"ENSG00000015592"	"STMN4"	2.288	0.0176865888839634	0.00773015248424974
"ENSG00000015676"	"NUDCD3"	8.036	112.442088648768	13.99229575022
